24605,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:0.43222222222222223,ay:-0.3188888888888889,az:-0.2222222222222222,q:251.9375,rV:    60,lV:    60,Camera:0
24681,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax: -0.07,ay:   0.2,az:0.10777777777777778,q:251.75,rV:    60,lV:    60,Camera:0
24766,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:0.21666666666666667,ay:-0.1322222222222222,az:0.2388888888888889,q:250.9375,rV:    60,lV:    60,Camera:0
24846,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:  0.41,ay:-0.7044444444444444,az:0.17222222222222222,q:250.625,rV:    60,lV:    60,Camera:0
24955,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:0.38666666666666666,ay:0.6777777777777778,az:-0.09444444444444444,q:250.6875,rV:    60,lV:    60,Camera:0
24997,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:  0.42,ay:1.2677777777777777,az:-0.2288888888888889,q:250.875,rV:    60,lV:    60,Camera:0
25005,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:0.9011111111111111,ay:   0.2,az:-0.31444444444444447,q:251.0625,rV:    60,lV:    60,Camera:0
25055,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:-0.6766666666666666,ay:0.39222222222222225,az:-0.04555555555555556,q:251.4375,rV:    60,lV:    60,Camera:0
25132,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:-0.17444444444444446,ay:-0.2388888888888889,az:-0.04666666666666667,q: 251.5,rV:    60,lV:    60,Camera:0
25230,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:0.21333333333333335,ay:0.3333333333333333,az:0.013333333333333334,q:251.4375,rV:    60,lV:    60,Camera:0
25245,state:6,Time:14:01:53,Lat:35.55489333,Lng:139.65561667,ax:0.6055555555555555,ay:0.15666666666666668,az:0.042222222222222223,q:251.3125,rV:    60,lV:    60,Camera:0
25567,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:0.29333333333333333,ay:-0.5188888888888888,az:-0.06444444444444444,q: 250.5,rV:    60,lV:    60,Camera:0
25651,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:  0.72,ay:0.5866666666666667,az:0.11333333333333333,q: 250.0,rV:    60,lV:    60,Camera:0
25732,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:0.16666666666666666,ay:  -0.1,az:0.4266666666666667,q:248.25,rV:    60,lV:    60,Camera:0
25816,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:-0.24888888888888888,ay:-0.6922222222222222,az:0.18444444444444444,q:247.375,rV:    60,lV:    60,Camera:0
25919,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:0.14888888888888888,ay:0.058888888888888886,az:0.022222222222222223,q:246.9375,rV:    60,lV:    60,Camera:0
25964,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:-0.18666666666666668,ay:-0.10222222222222223,az:0.5466666666666666,q:245.8125,rV:    60,lV:    60,Camera:0
25976,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:  0.19,ay:-0.8466666666666667,az:0.5588888888888889,q: 245.5,rV:    60,lV:    60,Camera:0
26028,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:-0.8966666666666666,ay:0.20555555555555555,az:0.38555555555555554,q:244.0625,rV:    60,lV:    60,Camera:0
26107,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:-0.5577777777777778,ay:-0.21444444444444444,az:-0.012222222222222223,q:243.75,rV:    60,lV:    60,Camera:0
26201,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:0.4477777777777778,ay:-0.057777777777777775,az:0.4955555555555556,q:243.9375,rV:    60,lV:    60,Camera:0
26208,state:6,Time:14:01:54,Lat:35.55489333,Lng:139.65561667,ax:-0.043333333333333335,ay:-0.07333333333333333,az:0.7288888888888889,q:243.5625,rV:    60,lV:    60,Camera:0
26547,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:-0.32555555555555554,ay:0.08444444444444445,az:0.11444444444444445,q:239.375,rV:    60,lV:    60,Camera:0
26647,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:-0.8888888888888888,ay:0.03888888888888889,az:0.40444444444444444,q:238.25,rV:    60,lV:    60,Camera:0
26731,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax: -1.05,ay:-0.2911111111111111,az:0.11333333333333333,q:236.0625,rV:    60,lV:    60,Camera:0
26813,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:-0.3322222222222222,ay:0.058888888888888886,az:-0.2911111111111111,q:237.1875,rV:    60,lV:    60,Camera:0
26922,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:1.1288888888888888,ay:-0.5055555555555555,az:0.035555555555555556,q:238.75,rV:    60,lV:    60,Camera:0
26966,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:-0.7177777777777777,ay:0.6422222222222222,az:0.027777777777777776,q:238.5625,rV:    60,lV:    60,Camera:0
26977,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:-0.3088888888888889,ay:0.051111111111111114,az:0.03111111111111111,q:238.5625,rV:    60,lV:    60,Camera:0
27027,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:-0.021111111111111112,ay:-0.17444444444444446,az:-0.012222222222222223,q: 238.5,rV:    60,lV:    60,Camera:0
27104,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:0.3011111111111111,ay:-0.27444444444444444,az:-0.08222222222222222,q: 238.5,rV:    60,lV:    60,Camera:0
27194,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:0.2866666666666667,ay:-0.0022222222222222222,az:0.18555555555555556,q:238.625,rV:    60,lV:    60,Camera:0
27200,state:6,Time:14:01:55,Lat:35.55489333,Lng:139.65561667,ax:0.2866666666666667,ay:-0.0022222222222222222,az:0.18555555555555556,q:238.375,rV:    70,lV:    50,Camera:0
27545,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:0.48444444444444446,ay:-0.4688888888888889,az:0.39666666666666667,q:231.1875,rV:    70,lV:    50,Camera:0
27631,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:0.4588888888888889,ay:1.2555555555555555,az:0.6466666666666666,q:227.1875,rV:    70,lV:    50,Camera:0
27719,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:0.25222222222222224,ay:1.491111111111111,az:0.6244444444444445,q:222.8125,rV:    70,lV:    50,Camera:0
27815,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:0.15666666666666668,ay:-0.7355555555555555,az:0.5066666666666667,q:219.4375,rV:    70,lV:    50,Camera:0
27928,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:0.9577777777777777,ay:  0.98,az:0.28444444444444444,q:216.875,rV:    70,lV:    50,Camera:0
27978,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:-0.6777777777777778,ay:-0.2088888888888889,az:0.9888888888888889,q:215.0625,rV:    70,lV:    50,Camera:0
27990,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:0.16555555555555557,ay:-0.17444444444444446,az:0.8344444444444444,q:214.25,rV:    70,lV:    50,Camera:0
28041,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:-0.5511111111111111,ay:0.034444444444444444,az:0.9422222222222222,q:212.3125,rV:    70,lV:    50,Camera:0
28136,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:  0.06,ay:-0.3622222222222222,az:0.5055555555555555,q:208.625,rV:    70,lV:    50,Camera:0
28234,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:-0.49777777777777776,ay:-0.49777777777777776,az:1.0222222222222221,q:204.4375,rV:    70,lV:    50,Camera:0
28241,state:6,Time:14:01:56,Lat:35.55489333,Lng:139.65561667,ax:-0.49777777777777776,ay:-0.49777777777777776,az:1.0222222222222221,q:203.875,rV:    70,lV:    50,Camera:0
28574,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:0.6233333333333333,ay:-0.08666666666666667,az:  0.38,q:192.6875,rV:    70,lV:    50,Camera:0
28659,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:-0.3088888888888889,ay:-0.3888888888888889,az:0.7666666666666667,q:189.8125,rV:    70,lV:    50,Camera:0
28746,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:0.33555555555555555,ay:0.5688888888888889,az:0.7022222222222222,q:186.3125,rV:    70,lV:    50,Camera:0
28835,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:0.2222222222222222,ay:-0.4688888888888889,az:0.8455555555555555,q:182.3125,rV:    70,lV:    50,Camera:0
28945,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:0.6666666666666666,ay:0.6033333333333334,az:0.7111111111111111,q:176.25,rV:    70,lV:    50,Camera:0
28985,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:-1.4111111111111112,ay:-0.13777777777777778,az:1.1688888888888889,q:173.9375,rV:    70,lV:    50,Camera:0
28998,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:-0.9044444444444445,ay:0.5977777777777777,az:1.0888888888888888,q:173.375,rV:    70,lV:    50,Camera:0
29046,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:-0.41444444444444445,ay:-0.5077777777777778,az:0.9688888888888889,q:170.875,rV:    70,lV:    50,Camera:0
29134,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:-0.3011111111111111,ay: -0.06,az:0.7488888888888889,q:167.4375,rV:    70,lV:    50,Camera:0
29235,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:0.7288888888888889,ay:-0.3188888888888889,az:-35.57,q: 162.5,rV:    70,lV:    50,Camera:0
29242,state:6,Time:14:01:57,Lat:35.55489333,Lng:139.65561667,ax:0.14444444444444443,ay:-0.24222222222222223,az:0.9344444444444444,q:161.9375,rV:    70,lV:    50,Camera:0
29579,state:6,Time:14:01:58,Lat:35.55489333,Lng:139.65561667,ax:-0.16777777777777778,ay:-0.31666666666666665,az:  0.75,q:149.6875,rV:    70,lV:    50,Camera:0
29662,state:6,Time:14:01:58,Lat:35.55489333,Lng:139.65561667,ax:-0.6066666666666667,ay:  0.43,az:1.0022222222222221,q:145.9375,rV:    70,lV:    50,Camera:0
29749,state:6,Time:14:01:58,Lat:35.55489333,Lng:139.65561667,ax:0.7644444444444445,ay:-0.5444444444444444,az:0.15222222222222223,q:143.5625,rV:    70,lV:    50,Camera:0
29834,state:6,Time:14:01:58,Lat:35.55489333,Lng:139.65561667,ax:0.09666666666666666,ay:-0.35555555555555557,az:0.5511111111111111,q:140.6875,rV:    70,lV:    50,Camera:0
29951,state:6,Time:14:01:58,Lat:35.55489333,Lng:139.65561667,ax:-0.21333333333333335,ay:0.5466666666666666,az:0.4855555555555556,q:137.875,rV:    70,lV:    50,Camera:0
29999,state:6,Time:14:01:58,Lat:35.55489333,Lng:139.65561667,ax:-1.4433333333333334,ay:0.31444444444444447,az:1.1233333333333333,q:135.9375,rV:    70,lV:    50,Camera:0
30010,state:6,Time:14:01:58,Lat:35.55489333,Lng:139.65561667,ax:-1.1044444444444443,ay:0.8833333333333333,az:1.1277777777777778,q:135.3125,rV:    70,lV:    50,Camera:0
