22764,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:-0.2877777777777778,ay:   0.9,az:1.0544444444444445,q:319.375,rV:    70,lV:    50,Camera:0
22853,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:0.2811111111111111,ay:0.2388888888888889,az:0.3111111111111111,q:315.3125,rV:    70,lV:    50,Camera:0
22903,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:0.4477777777777778,ay:-0.07555555555555556,az:0.5588888888888889,q:314.125,rV:    70,lV:    50,Camera:0
23021,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:-0.8811111111111111,ay:-0.052222222222222225,az:  0.64,q: 310.5,rV:    70,lV:    50,Camera:0
23103,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:-0.7288888888888889,ay:0.2633333333333333,az:  1.27,q:305.6875,rV:    70,lV:    50,Camera:0
23184,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:-1.0066666666666666,ay:0.47333333333333333,az:0.6522222222222223,q:302.0625,rV:    70,lV:    50,Camera:0
23228,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:-0.22444444444444445,ay:-0.1811111111111111,az:0.5755555555555556,q:300.9375,rV:    70,lV:    50,Camera:0
23238,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:0.24333333333333335,ay:0.9866666666666667,az:0.5844444444444444,q:300.625,rV:    70,lV:    50,Camera:0
23335,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:0.7166666666666667,ay:-0.35555555555555557,az:0.9022222222222223,q:296.3125,rV:    70,lV:    50,Camera:0
23342,state:6,Time:13:42:43,Lat:35.55490833,Lng:139.65565667,ax:0.6622222222222223,ay:-0.5377777777777778,az:1.0811111111111111,q:295.6875,rV:    70,lV:    50,Camera:0
23674,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:0.023333333333333334,ay:0.10555555555555556,az:0.7811111111111111,q:284.375,rV:    70,lV:    50,Camera:0
23720,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:0.04111111111111111,ay:0.04111111111111111,az:0.9088888888888889,q: 282.0,rV:    70,lV:    50,Camera:0
23807,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:0.23333333333333334,ay:0.6788888888888889,az:0.5611111111111111,q: 278.0,rV:    70,lV:    50,Camera:0
23855,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:-0.6233333333333333,ay:0.11777777777777777,az:0.3933333333333333,q:276.75,rV:    70,lV:    50,Camera:0
23974,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:-0.8488888888888889,ay:-0.14222222222222222,az:0.6766666666666666,q:271.9375,rV:    70,lV:    50,Camera:0
24058,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:0.20777777777777778,ay:1.0266666666666666,az:1.1111111111111112,q: 267.5,rV:    70,lV:    50,Camera:0
24136,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:-0.12222222222222222,ay:0.27555555555555555,az:0.6455555555555555,q:263.75,rV:    70,lV:    50,Camera:0
24179,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:-0.5866666666666667,ay:0.14444444444444443,az:0.6122222222222222,q:262.4375,rV:    70,lV:    50,Camera:0
24191,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:-0.20777777777777778,ay:0.2722222222222222,az:0.4722222222222222,q: 262.0,rV:    70,lV:    50,Camera:0
24319,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:-1.2555555555555555,ay:0.6055555555555555,az:  0.39,q:258.25,rV:    70,lV:    50,Camera:0
24326,state:6,Time:13:42:44,Lat:35.55490833,Lng:139.65565667,ax:-1.0444444444444445,ay:1.5155555555555555,az:0.3933333333333333,q:258.25,rV:    70,lV:    50,Camera:0
24669,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:-0.39111111111111113,ay:0.8188888888888889,az:0.5466666666666666,q:245.6875,rV:    70,lV:    50,Camera:0
24717,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:-0.02666666666666667,ay:-0.4822222222222222,az:0.5733333333333334,q:244.5625,rV:    70,lV:    50,Camera:0
24809,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:-35.90111111111111,ay:-0.7233333333333334,az:  0.88,q:239.3125,rV:    70,lV:    50,Camera:0
24852,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:-1.2977777777777777,ay:1.3133333333333332,az:0.9877777777777778,q:237.0625,rV:    70,lV:    50,Camera:0
24975,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:-0.4122222222222222,ay:-0.45111111111111113,az:0.9133333333333333,q:231.6875,rV:    70,lV:    50,Camera:0
25056,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax: -0.26,ay:1.008888888888889,az:0.4811111111111111,q:229.125,rV:    70,lV:    50,Camera:0
25136,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:-0.4222222222222222,ay:0.6966666666666667,az:0.9144444444444444,q:225.875,rV:    70,lV:    50,Camera:0
25179,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:0.2866666666666667,ay:0.25222222222222224,az:1.1944444444444444,q:223.1875,rV:    70,lV:    50,Camera:0
25189,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:-0.41444444444444445,ay:0.7377777777777778,az:1.1377777777777778,q:222.6875,rV:    70,lV:    50,Camera:0
25285,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:  0.66,ay:-0.5233333333333333,az:0.5366666666666666,q:219.75,rV:    70,lV:    50,Camera:0
25294,state:6,Time:13:42:45,Lat:35.55490833,Lng:139.65565667,ax:0.22777777777777777,ay: -0.71,az:0.5233333333333333,q:219.4375,rV:    70,lV:    50,Camera:0
25620,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:0.016666666666666666,ay:-0.035555555555555556,az:0.9366666666666666,q:205.625,rV:    70,lV:    50,Camera:0
25666,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:-0.6777777777777778,ay:1.0333333333333334,az:0.9666666666666667,q:203.3125,rV:    70,lV:    50,Camera:0
25752,state:6,Time:13:42:46,Lat:35.55490833,Lng:139.65565667,ax:  0.29,ay:-0.03888888888888889,az:0.7511111111111111,q:199.25,rV:    70,lV:    50,Camera:0
