5838,state:4,Time:13:43:33,Lat:35.55491000,Lng:139.65566000,ax:-0.011111111111111112,ay:0.05333333333333334,az:  0.06,q:   0.0,rV:     0,lV:     0,Camera:captured!
22914,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:-0.4411111111111111,ay:1.0711111111111111,az:0.016666666666666666,q:202.625,rV:    70,lV:    50,Camera:0
23207,state:6,Time:13:43:50,Lat:35.55491000,Lng:139.65566000,ax:-0.34444444444444444,ay:-0.03777777777777778,az:0.9366666666666666,q: 196.0,rV:    70,lV:    50,Camera:0
23295,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:0.5233333333333333,ay:-0.45666666666666667,az:   0.7,q:192.25,rV:    70,lV:    50,Camera:0
23408,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.6233333333333333,ay:0.5166666666666667,az:0.7788888888888889,q:187.125,rV:    70,lV:    50,Camera:0
23456,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.2777777777777778,ay:-0.6944444444444444,az:0.5666666666666667,q:185.5625,rV:    70,lV:    50,Camera:0
23546,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:0.6522222222222223,ay:-0.04888888888888889,az:0.6388888888888888,q:182.75,rV:    70,lV:    50,Camera:0
23560,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:1.021111111111111,ay:-0.6633333333333333,az:0.6544444444444445,q:182.375,rV:    70,lV:    50,Camera:0
23673,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.7377777777777778,ay:0.4222222222222222,az:0.7944444444444444,q: 176.5,rV:    70,lV:    50,Camera:0
23682,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.5122222222222222,ay:0.12777777777777777,az:0.7955555555555556,q:176.0625,rV:    70,lV:    50,Camera:0
23763,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.4666666666666667,ay:-0.6955555555555556,az:0.8922222222222222,q:172.125,rV:    70,lV:    50,Camera:0
23860,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.13555555555555557,ay:  0.77,az:0.5666666666666667,q:168.875,rV:    70,lV:    50,Camera:0
23869,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.13555555555555557,ay:  0.77,az:0.5666666666666667,q:168.6875,rV:    70,lV:    50,Camera:0
24143,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.29555555555555557,ay:0.3388888888888889,az:1.1155555555555556,q:154.875,rV:    70,lV:    50,Camera:0
24223,state:6,Time:13:43:51,Lat:35.55491000,Lng:139.65566000,ax:-0.07555555555555556,ay:-0.07888888888888888,az:0.6622222222222223,q:150.8125,rV:    70,lV:    50,Camera:0
24335,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.03333333333333333,ay:  1.11,az:0.9488888888888889,q: 147.0,rV:    70,lV:    50,Camera:0
24383,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.06111111111111111,ay:  0.48,az:0.8755555555555555,q:144.4375,rV:    70,lV:    50,Camera:0
24471,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.7166666666666667,ay:0.13333333333333333,az:0.5866666666666667,q:141.75,rV:    70,lV:    50,Camera:0
24481,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.6077777777777778,ay:-0.4311111111111111,az:0.6244444444444445,q:141.3125,rV:    70,lV:    50,Camera:0
24605,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.28555555555555556,ay:0.21888888888888888,az:  0.28,q:134.0625,rV:    70,lV:    50,Camera:0
24615,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.23444444444444446,ay:0.2866666666666667,az:  0.35,q:133.875,rV:    70,lV:    50,Camera:0
24697,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:-0.1288888888888889,ay: -0.44,az:0.8733333333333333,q: 130.5,rV:    70,lV:    50,Camera:0
24797,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:-0.6411111111111111,ay:0.11333333333333333,az:1.0144444444444445,q:124.0625,rV:    70,lV:    50,Camera:0
24808,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.1111111111111111,ay:-0.14222222222222222,az:0.9722222222222222,q: 123.5,rV:    70,lV:    50,Camera:0
25085,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.4988888888888889,ay:0.20777777777777778,az:0.36444444444444446,q:113.3125,rV:    70,lV:    50,Camera:0
25169,state:6,Time:13:43:52,Lat:35.55491000,Lng:139.65566000,ax:0.09777777777777778,ay:0.12666666666666668,az:   0.6,q:110.625,rV:    70,lV:    50,Camera:0
25295,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:0.6166666666666667,ay:-0.4688888888888889,az:0.9633333333333334,q:104.625,rV:    70,lV:    50,Camera:0
25335,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:-0.4866666666666667,ay:0.3611111111111111,az:1.1455555555555557,q:101.9375,rV:    70,lV:    50,Camera:0
25423,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:-0.21333333333333335,ay:1.1066666666666667,az:  0.85,q:97.5625,rV:    70,lV:    50,Camera:0
25433,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:-0.7055555555555556,ay:  0.77,az:0.9633333333333334,q:  97.0,rV:    70,lV:    50,Camera:0
25550,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:0.6266666666666667,ay:-0.15222222222222223,az:  0.68,q:92.125,rV:    70,lV:    50,Camera:0
25562,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:0.9088888888888889,ay:0.024444444444444446,az:0.6733333333333333,q:  91.5,rV:    70,lV:    50,Camera:0
25648,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:0.16333333333333333,ay:  0.35,az:0.6688888888888889,q:87.6875,rV:    70,lV:    50,Camera:0
25748,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:0.05444444444444444,ay:-1.3455555555555556,az:0.8722222222222222,q:  84.5,rV:    70,lV:    50,Camera:0
25754,state:6,Time:13:43:53,Lat:35.55491000,Lng:139.65566000,ax:0.05444444444444444,ay:-1.3455555555555556,az:0.8722222222222222,q: 83.75,rV:    70,lV:    50,Camera:0
