5846,state:4,Time:13:58:33,Lat:35.55492500,Lng:139.65566000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
23701,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:0.9788888888888889,ay:-0.1111111111111111,az:-0.44333333333333336,q:275.375,rV:    60,lV:    60,Camera:0
23780,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:0.7633333333333333,ay:-0.41444444444444445,az:-0.035555555555555556,q:275.25,rV:    60,lV:    60,Camera:0
23789,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:0.2811111111111111,ay:0.2877777777777778,az:0.1288888888888889,q:275.1875,rV:    60,lV:    60,Camera:0
23858,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax:-0.22444444444444445,ay: -0.18,az:0.5311111111111111,q:273.9375,rV:    60,lV:    60,Camera:0
23967,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax: -0.54,ay:-0.3488888888888889,az:-0.5555555555555556,q:273.4375,rV:    60,lV:    60,Camera:0
24044,state:6,Time:13:58:51,Lat:35.55490333,Lng:139.65564667,ax: -0.58,ay:0.49444444444444446,az:0.13666666666666666,q:274.75,rV:    60,lV:    60,Camera:0
24167,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:-0.14666666666666667,ay:0.2111111111111111,az:0.2611111111111111,q:273.8125,rV:    60,lV:    60,Camera:0
24174,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:-0.14666666666666667,ay:0.2111111111111111,az:0.2611111111111111,q:273.5625,rV:    60,lV:    60,Camera:0
24491,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:1.051111111111111,ay:-0.07444444444444444,az:0.006666666666666667,q:274.0625,rV:    60,lV:    60,Camera:0
24534,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax: -0.65,ay:0.39111111111111113,az:0.38555555555555554,q:273.625,rV:    60,lV:    60,Camera:0
24544,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:-0.9177777777777778,ay:0.24222222222222223,az:0.2911111111111111,q:273.4375,rV:    60,lV:    60,Camera:0
24633,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:0.6866666666666666,ay:0.02666666666666667,az:-0.17333333333333334,q:273.1875,rV:    60,lV:    60,Camera:0
24717,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:0.5455555555555556,ay:-0.4066666666666667,az:0.04555555555555556,q:273.25,rV:    60,lV:    60,Camera:0
24725,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:0.6855555555555556,ay:-0.13555555555555557,az:0.3022222222222222,q:272.9375,rV:    60,lV:    60,Camera:0
24807,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax: -0.29,ay:-0.20666666666666667,az:0.6355555555555555,q:270.5625,rV:    60,lV:    60,Camera:0
24917,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:-0.8422222222222222,ay:0.7355555555555555,az:-0.13555555555555557,q:270.375,rV:    60,lV:    60,Camera:0
24996,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:-0.38222222222222224,ay:-0.1511111111111111,az:0.6555555555555556,q:269.6875,rV:    60,lV:    60,Camera:0
25118,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:-0.5744444444444444,ay:0.7777777777777778,az:  0.02,q: 267.5,rV:    60,lV:    60,Camera:0
25125,state:6,Time:13:58:52,Lat:35.55489833,Lng:139.65563833,ax:-0.5744444444444444,ay:0.7777777777777778,az:  0.02,q: 267.5,rV:    70,lV:    50,Camera:0
25452,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:0.24888888888888888,ay:-0.4688888888888889,az:0.6222222222222222,q:258.1875,rV:    70,lV:    50,Camera:0
25499,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:-0.016666666666666666,ay: -0.11,az:0.6833333333333333,q:256.6875,rV:    70,lV:    50,Camera:0
25510,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax: -0.36,ay:0.05444444444444444,az:0.6533333333333333,q:256.3125,rV:    70,lV:    50,Camera:0
25612,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:0.18555555555555556,ay:-0.6044444444444445,az:  1.02,q:252.0625,rV:    70,lV:    50,Camera:0
25693,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax: -0.56,ay:-0.10333333333333333,az:1.1122222222222222,q:247.375,rV:    70,lV:    50,Camera:0
25701,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:-0.20555555555555555,ay:-0.2777777777777778,az:0.9155555555555556,q:246.875,rV:    70,lV:    50,Camera:0
25778,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:-1.0177777777777777,ay: -0.41,az:0.8733333333333333,q:243.5625,rV:    70,lV:    50,Camera:0
25886,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:-0.1811111111111111,ay:-0.6877777777777778,az:0.9455555555555556,q:239.125,rV:    70,lV:    50,Camera:0
25962,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:0.27555555555555555,ay:-0.31555555555555553,az:0.5988888888888889,q:234.875,rV:    70,lV:    50,Camera:0
26091,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:0.47444444444444445,ay:-0.4777777777777778,az:0.44555555555555554,q: 231.0,rV:    70,lV:    50,Camera:0
26098,state:6,Time:13:58:53,Lat:35.55489500,Lng:139.65563167,ax:0.8433333333333334,ay:0.22444444444444445,az:  0.46,q: 231.0,rV:    70,lV:    50,Camera:0
