5796,state:4,Time:14:19:38,Lat:35.55487667,Lng:139.65567500,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
24780,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:0.05444444444444444,ay:0.24222222222222223,az:-0.6033333333333334,q:74.0625,rV:    50,lV:    70,Camera:0
24827,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:0.08666666666666667,ay:0.34444444444444444,az:-0.8955555555555555,q:75.6875,rV:    50,lV:    70,Camera:0
24948,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:0.1288888888888889,ay: -0.51,az:-0.7077777777777777,q:81.625,rV:    50,lV:    70,Camera:0
24990,state:6,Time:14:19:57,Lat:35.55486167,Lng:139.65562333,ax:  0.41,ay:-0.22555555555555556,az:-0.7977777777777778,q:83.5625,rV:    50,lV:    70,Camera:0
25108,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:  0.48,ay:-0.35444444444444445,az:-0.4011111111111111,q:88.125,rV:    50,lV:    70,Camera:0
25118,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:0.20777777777777778,ay:-0.11555555555555555,az:-0.34555555555555556,q:88.3125,rV:    70,lV:    50,Camera:0
25448,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:-0.07333333333333333,ay:-0.11555555555555555,az:  1.17,q:79.3125,rV:    70,lV:    50,Camera:0
25568,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax: -0.33,ay:-0.15888888888888889,az:0.7166666666666667,q:74.375,rV:    70,lV:    50,Camera:0
25578,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:-0.12444444444444444,ay:0.5688888888888889,az:0.5777777777777777,q:74.0625,rV:    70,lV:    50,Camera:0
25664,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:0.23666666666666666,ay:-0.11333333333333333,az:0.4855555555555556,q:72.125,rV:    70,lV:    50,Camera:0
25748,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:0.3288888888888889,ay:0.20444444444444446,az:0.6833333333333333,q:  68.5,rV:    70,lV:    50,Camera:0
25832,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:0.27555555555555555,ay:-0.5288888888888889,az:0.5022222222222222,q:66.125,rV:    70,lV:    50,Camera:0
25883,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:-0.042222222222222223,ay:-0.31777777777777777,az:0.6177777777777778,q:64.0625,rV:    70,lV:    50,Camera:0
26005,state:6,Time:14:19:58,Lat:35.55485833,Lng:139.65562167,ax:-0.14333333333333334,ay:0.18555555555555556,az:1.008888888888889,q:59.4375,rV:    70,lV:    50,Camera:0
26057,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:-0.5188888888888888,ay:-0.6466666666666666,az:1.0866666666666667,q:56.8125,rV:    70,lV:    50,Camera:0
26171,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:0.1711111111111111,ay:-0.8744444444444445,az:0.27555555555555555,q: 53.75,rV:    70,lV:    50,Camera:0
26180,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:0.015555555555555555,ay:-0.7788888888888889,az:0.39222222222222225,q:  53.5,rV:    70,lV:    50,Camera:0
26510,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:-0.2677777777777778,ay: -0.15,az:0.8044444444444444,q:39.875,rV:    70,lV:    50,Camera:0
26643,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:   0.5,ay:-0.2688888888888889,az:0.4766666666666667,q:  35.5,rV:    70,lV:    50,Camera:0
26652,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:0.3288888888888889,ay:-0.4311111111111111,az:0.6077777777777778,q:35.1875,rV:    70,lV:    50,Camera:0
26737,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:-0.31666666666666665,ay:-0.021111111111111112,az:0.45666666666666667,q:32.5625,rV:    70,lV:    50,Camera:0
26821,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:-1.0122222222222221,ay:0.9255555555555556,az:1.0144444444444445,q: 29.75,rV:    70,lV:    50,Camera:0
26907,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:-0.7211111111111111,ay:0.5477777777777778,az:0.6555555555555556,q:26.3125,rV:    70,lV:    50,Camera:0
26954,state:6,Time:14:19:59,Lat:35.55485500,Lng:139.65562000,ax:-0.49333333333333335,ay:-0.13666666666666666,az:0.5966666666666667,q:25.0625,rV:    70,lV:    50,Camera:0
27087,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:0.2877777777777778,ay:-0.49444444444444446,az:0.6033333333333334,q:21.0625,rV:    70,lV:    50,Camera:0
27133,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:0.5366666666666666,ay: -0.81,az:0.47444444444444445,q:19.5625,rV:    70,lV:    50,Camera:0
27241,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:-0.3488888888888889,ay:-0.09666666666666666,az:  0.61,q:16.4375,rV:    70,lV:    50,Camera:0
27249,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:-0.3488888888888889,ay:-0.09666666666666666,az:  0.61,q:16.4375,rV:    70,lV:    50,Camera:0
27561,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:0.27666666666666667,ay: -0.86,az:0.6111111111111112,q:4.6875,rV:    70,lV:    50,Camera:0
27669,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:-0.37444444444444447,ay:-0.5033333333333333,az:0.5677777777777778,q:1.4375,rV:    70,lV:    50,Camera:0
27680,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:0.05444444444444444,ay:-1.4266666666666667,az:0.5533333333333333,q:0.9375,rV:    70,lV:    50,Camera:0
27758,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:-0.5977777777777777,ay:1.4066666666666667,az:0.8944444444444445,q: 357.5,rV:    70,lV:    50,Camera:0
27834,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:-0.44666666666666666,ay:0.06666666666666667,az:0.6722222222222223,q:354.4375,rV:    70,lV:    50,Camera:0
27916,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:-0.29333333333333333,ay:-0.31555555555555553,az:0.6844444444444444,q: 351.5,rV:    70,lV:    50,Camera:0
27963,state:6,Time:14:20:00,Lat:35.55485333,Lng:139.65561667,ax:-0.5177777777777778,ay:-0.4166666666666667,az:0.8488888888888889,q:348.875,rV:    70,lV:    50,Camera:0
28085,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:0.6722222222222223,ay:0.021111111111111112,az:0.7288888888888889,q:344.8125,rV:    70,lV:    50,Camera:0
28127,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:-0.4988888888888889,ay:0.5911111111111111,az:  0.83,q:342.8125,rV:    70,lV:    50,Camera:0
28243,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:-0.5277777777777778,ay:-0.6277777777777778,az:0.3988888888888889,q:338.875,rV:    70,lV:    50,Camera:0
28252,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:-1.0822222222222222,ay:-0.034444444444444444,az:0.5011111111111111,q:338.875,rV:    60,lV:    60,Camera:0
28551,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:  -0.6,ay:-0.05444444444444444,az:  0.19,q:336.375,rV:    60,lV:    60,Camera:0
28659,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:-0.22444444444444445,ay:-0.06555555555555556,az:0.0044444444444444444,q:335.8125,rV:    60,lV:    60,Camera:0
28668,state:6,Time:14:20:01,Lat:35.55485167,Lng:139.65561500,ax:0.6233333333333333,ay:-1.0611111111111111,az:-0.16333333333333333,q:335.9375,rV:    60,lV:    60,Camera:0
