5835,state:4,Time:14:07:17,Lat:35.55484667,Lng:139.65562000,ax:   0.0,ay:0.0011111111111111111,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:captured!
26205,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:-0.29888888888888887,ay:0.6177777777777778,az:  0.75,q:278.375,rV:    70,lV:    50,Camera:0
26317,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:0.44555555555555554,ay:  0.07,az:0.6833333333333333,q:274.125,rV:    70,lV:    50,Camera:0
26325,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:-0.4311111111111111,ay:-0.3844444444444444,az:0.8977777777777778,q: 273.5,rV:    70,lV:    50,Camera:0
26427,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:  0.13,ay:1.0644444444444445,az:0.6622222222222223,q:269.8125,rV:    70,lV:    50,Camera:0
26436,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:0.2311111111111111,ay:0.4811111111111111,az:  0.74,q:269.375,rV:    70,lV:    50,Camera:0
26715,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:0.6733333333333333,ay:-0.34444444444444444,az:0.19333333333333333,q:262.5625,rV:    70,lV:    50,Camera:0
26791,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:0.6911111111111111,ay:-0.04777777777777778,az:  0.77,q:259.9375,rV:    70,lV:    50,Camera:0
26901,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:-1.2622222222222221,ay:0.8144444444444444,az:1.4211111111111112,q:252.625,rV:    70,lV:    50,Camera:0
26977,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:-0.18777777777777777,ay:0.7222222222222222,az:0.6444444444444445,q:249.25,rV:    70,lV:    50,Camera:0
27018,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:-0.6944444444444444,ay:-0.16111111111111112,az:0.5844444444444444,q: 248.0,rV:    70,lV:    50,Camera:0
27129,state:6,Time:14:07:38,Lat:35.55485833,Lng:139.65559167,ax:0.27111111111111114,ay:-0.5577777777777778,az:0.6566666666666666,q:244.4375,rV:    70,lV:    50,Camera:0
27211,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:0.08222222222222222,ay:-0.4766666666666667,az:0.3788888888888889,q:241.5625,rV:    70,lV:    50,Camera:0
27329,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:0.2733333333333333,ay:-0.056666666666666664,az:0.5066666666666667,q:237.1875,rV:    70,lV:    50,Camera:0
27339,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:0.5133333333333333,ay:0.04777777777777778,az:0.5122222222222222,q:236.9375,rV:    70,lV:    50,Camera:0
27443,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:-0.7488888888888889,ay:0.06666666666666667,az:0.7266666666666667,q:232.5625,rV:    70,lV:    50,Camera:0
27453,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:-0.41333333333333333,ay:-0.016666666666666666,az:0.7211111111111111,q:232.1875,rV:    70,lV:    50,Camera:0
27729,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:-0.8511111111111112,ay:0.7477777777777778,az:  0.76,q: 223.0,rV:    70,lV:    50,Camera:0
27808,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:0.6844444444444444,ay:-0.027777777777777776,az:0.38333333333333336,q: 221.0,rV:    70,lV:    50,Camera:0
27917,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:-1.1333333333333333,ay:-0.34555555555555556,az:0.9411111111111111,q:217.75,rV:    70,lV:    50,Camera:0
27989,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:-0.24222222222222223,ay:0.22333333333333333,az:   0.7,q:215.3125,rV:    70,lV:    50,Camera:0
28033,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:0.07222222222222222,ay:-0.3288888888888889,az:  0.65,q: 214.0,rV:    70,lV:    50,Camera:0
28152,state:6,Time:14:07:39,Lat:35.55486000,Lng:139.65559167,ax:0.2411111111111111,ay:  0.16,az:0.7133333333333334,q:209.5625,rV:    70,lV:    50,Camera:0
28248,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:0.16666666666666666,ay:-1.1644444444444444,az:0.6955555555555556,q:204.8125,rV:    70,lV:    50,Camera:0
28367,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:0.2588888888888889,ay:  -0.4,az:0.7066666666666667,q:200.5625,rV:    70,lV:    50,Camera:0
28375,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:0.14555555555555555,ay:-0.42333333333333334,az:  0.77,q:200.125,rV:    70,lV:    50,Camera:0
28483,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:-1.048888888888889,ay:-0.023333333333333334,az:1.011111111111111,q:195.9375,rV:    70,lV:    50,Camera:0
28493,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:-1.2122222222222223,ay:   0.4,az:0.9444444444444444,q: 195.5,rV:    70,lV:    50,Camera:0
28770,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:-0.44222222222222224,ay:0.3711111111111111,az:0.6766666666666666,q:184.375,rV:    70,lV:    50,Camera:0
28847,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:-0.43666666666666665,ay:-0.10555555555555556,az:0.1988888888888889,q:182.6875,rV:    70,lV:    50,Camera:0
28955,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:  0.44,ay:-0.017777777777777778,az:0.3977777777777778,q:179.9375,rV:    70,lV:    50,Camera:0
29012,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:0.18222222222222223,ay: -0.38,az:0.6388888888888888,q:178.6875,rV:    70,lV:    50,Camera:0
29061,state:6,Time:14:07:40,Lat:35.55486000,Lng:139.65559167,ax:0.09555555555555556,ay:-0.3477777777777778,az:0.6477777777777778,q:176.6875,rV:    70,lV:    50,Camera:0
29177,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:-0.15333333333333332,ay:-0.04555555555555556,az:   0.6,q:172.5625,rV:    70,lV:    50,Camera:0
29253,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:-0.6255555555555555,ay:0.052222222222222225,az:0.8077777777777778,q: 169.5,rV:    70,lV:    50,Camera:0
29369,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:  0.05,ay:0.31777777777777777,az:0.6288888888888889,q:165.125,rV:    70,lV:    50,Camera:0
29378,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:0.2311111111111111,ay:0.30333333333333334,az:0.5277777777777778,q:164.875,rV:    70,lV:    50,Camera:0
29475,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:0.36444444444444446,ay:-0.2911111111111111,az:0.5233333333333333,q:161.4375,rV:    70,lV:    50,Camera:0
29483,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:-0.1288888888888889,ay:0.44333333333333336,az:0.5622222222222222,q:161.0625,rV:    70,lV:    50,Camera:0
29764,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:0.4266666666666667,ay:-0.4311111111111111,az:0.7555555555555555,q:152.6875,rV:    70,lV:    50,Camera:0
29843,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:-0.17222222222222222,ay:-0.3488888888888889,az:   1.1,q:148.125,rV:    70,lV:    50,Camera:0
29953,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:0.3277777777777778,ay:-0.3711111111111111,az:0.46444444444444444,q:143.3125,rV:    70,lV:    50,Camera:0
30035,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:0.2688888888888889,ay:-0.43444444444444447,az:0.7533333333333333,q:139.75,rV:    70,lV:    50,Camera:0
30080,state:6,Time:14:07:41,Lat:35.55486000,Lng:139.65559000,ax:-1.0255555555555556,ay:0.06888888888888889,az:0.8977777777777778,q:137.625,rV:    70,lV:    50,Camera:0
30197,state:6,Time:14:07:42,Lat:35.55486167,Lng:139.65559000,ax:-0.01888888888888889,ay:-0.32555555555555554,az:0.6944444444444444,q:132.75,rV:    70,lV:    50,Camera:0
30294,state:6,Time:14:07:42,Lat:35.55486167,Lng:139.65559000,ax:0.05444444444444444,ay:0.29888888888888887,az:0.6733333333333333,q:129.625,rV:    70,lV:    50,Camera:0
