5810,state:4,Time:13:45:37,Lat:35.55491500,Lng:139.65560667,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0044444444444444444,q:   0.0,rV:     0,lV:     0,Camera:captured!
28200,state:6,Time:13:45:59,Lat:35.55493667,Lng:139.65560333,ax:0.6122222222222222,ay:0.5366666666666666,az:-0.5722222222222222,q:163.8125,rV:    60,lV:    60,Camera:0
28527,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:0.7855555555555556,ay: -0.76,az:-0.01888888888888889,q:164.875,rV:    60,lV:    60,Camera:0
28647,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax: -0.82,ay:-0.015555555555555555,az:0.31555555555555553,q:164.125,rV:    60,lV:    60,Camera:0
28736,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:-1.7133333333333334,ay:0.8066666666666666,az:0.03111111111111111,q:163.5625,rV:    60,lV:    60,Camera:0
28792,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:0.9588888888888889,ay:0.9711111111111111,az: -0.12,q:164.375,rV:    60,lV:    60,Camera:0
28913,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:0.8766666666666667,ay:-0.11777777777777777,az:-0.16444444444444445,q:164.4375,rV:    60,lV:    60,Camera:0
28957,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:-1.1777777777777778,ay:-0.058888888888888886,az:0.23222222222222222,q:164.1875,rV:    60,lV:    60,Camera:0
29048,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:-0.9966666666666667,ay:0.14777777777777779,az:-0.03222222222222222,q:162.75,rV:    60,lV:    60,Camera:0
29128,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:-0.6022222222222222,ay:0.7977777777777778,az:0.4166666666666667,q:162.3125,rV:    60,lV:    60,Camera:0
29138,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:-0.10333333333333333,ay:-0.044444444444444446,az:0.31777777777777777,q:162.125,rV:    60,lV:    60,Camera:0
29239,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:0.8577777777777778,ay:0.1388888888888889,az:-0.07888888888888888,q:162.625,rV:    60,lV:    60,Camera:0
29248,state:6,Time:13:46:00,Lat:35.55493667,Lng:139.65560333,ax:0.7555555555555555,ay:0.2511111111111111,az:-0.034444444444444444,q:162.6875,rV:    60,lV:    60,Camera:0
29569,state:6,Time:13:46:01,Lat:35.55493833,Lng:139.65560500,ax: -0.17,ay:0.44333333333333336,az:0.2411111111111111,q:163.1875,rV:    60,lV:    60,Camera:0
