5792,state:4,Time:13:38:43,Lat:35.55494500,Lng:139.65563167,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:captured!
28408,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:-0.45222222222222225,ay:8.158888888888889,az:0.31555555555555553,q:25.5625,rV:    60,lV:    60,Camera:0
28487,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:-0.04666666666666667,ay:-3.812222222222222,az:-0.49444444444444446,q:25.5625,rV:    60,lV:    60,Camera:0
28567,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:-0.11333333333333333,ay:-2.276666666666667,az:0.12222222222222222,q:24.5625,rV:    60,lV:    60,Camera:0
28651,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:0.3011111111111111,ay:-1.5233333333333334,az:-0.9277777777777778,q:24.6875,rV:    60,lV:    60,Camera:0
28695,state:6,Time:13:39:05,Lat:35.55490667,Lng:139.65558833,ax:1.6977777777777778,ay:1.7177777777777778,az:-1.4666666666666666,q:28.3125,rV:    60,lV:    60,Camera:0
28755,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:1.2866666666666666,ay:1.0933333333333333,az:-0.9411111111111111,q:31.375,rV:    60,lV:    60,Camera:0
28764,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:1.2144444444444444,ay:0.9655555555555555,az:-1.011111111111111,q:31.9375,rV:    60,lV:    60,Camera:0
28869,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:1.0611111111111111,ay:-0.08222222222222222,az:  0.11,q: 34.25,rV:    60,lV:    60,Camera:0
28878,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:1.0377777777777777,ay:0.5633333333333334,az:0.19111111111111112,q: 34.25,rV:    60,lV:    60,Camera:0
29201,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:  0.88,ay:0.6822222222222222,az:0.07666666666666666,q:38.1875,rV:    60,lV:    60,Camera:0
29318,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:1.5044444444444445,ay:0.7066666666666667,az:0.3988888888888889,q:39.0625,rV:    60,lV:    60,Camera:0
29433,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:0.8055555555555556,ay:0.4255555555555556,az:0.7555555555555555,q:38.4375,rV:    60,lV:    60,Camera:0
29518,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:0.7611111111111111,ay:2.2044444444444444,az:0.15333333333333332,q: 37.75,rV:    60,lV:    60,Camera:0
29620,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:  0.62,ay:0.09666666666666666,az:  0.13,q:34.5625,rV:    60,lV:    60,Camera:0
29700,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:0.7044444444444444,ay:0.8333333333333334,az:0.034444444444444444,q:35.3125,rV:    60,lV:    60,Camera:0
29741,state:6,Time:13:39:06,Lat:35.55490667,Lng:139.65558667,ax:  0.51,ay:-0.4855555555555556,az:0.03777777777777778,q:36.0625,rV:    60,lV:    60,Camera:0
29793,state:6,Time:13:39:07,Lat:35.55490500,Lng:139.65558333,ax:0.2733333333333333,ay:  0.13,az:0.18222222222222223,q:35.5625,rV:    60,lV:    60,Camera:0
29806,state:6,Time:13:39:07,Lat:35.55490500,Lng:139.65558333,ax:0.5066666666666667,ay:0.09555555555555556,az:0.14666666666666667,q:  35.5,rV:    60,lV:    60,Camera:0
29905,state:6,Time:13:39:07,Lat:35.55490500,Lng:139.65558333,ax:0.27111111111111114,ay:0.37555555555555553,az:0.05555555555555555,q:34.5625,rV:    60,lV:    60,Camera:0
29911,state:6,Time:13:39:07,Lat:35.55490500,Lng:139.65558333,ax:0.27111111111111114,ay:0.37555555555555553,az:0.05555555555555555,q:34.5625,rV:    70,lV:    50,Camera:0
30217,state:6,Time:13:39:07,Lat:35.55490500,Lng:139.65558333,ax:0.7655555555555555,ay:0.3988888888888889,az:0.4577777777777778,q:31.125,rV:    70,lV:    50,Camera:0
30329,state:6,Time:13:39:07,Lat:35.55490500,Lng:139.65558333,ax:1.0433333333333332,ay:0.10888888888888888,az:1.208888888888889,q:25.625,rV:    70,lV:    50,Camera:0
30436,state:6,Time:13:39:07,Lat:35.55490500,Lng:139.65558333,ax:1.6133333333333333,ay:0.08222222222222222,az:2.891111111111111,q:13.4375,rV:    70,lV:    50,Camera:0
30512,state:6,Time:13:39:07,Lat:35.55490500,Lng:139.65558333,ax:0.1711111111111111,ay:  2.79,az:1.9044444444444444,q:0.1875,rV:    70,lV:    50,Camera:0
