6183,state:4,Time:13:17:49,Lat:35.55488000,Lng:139.65572167,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:captured!
22748,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:0.42444444444444446,ay:-0.24222222222222223,az:-0.12666666666666668,q:275.8125,rV:    60,lV:    60,Camera:0
22868,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:-0.5644444444444444,ay:0.22333333333333333,az:0.05555555555555555,q:276.375,rV:    60,lV:    60,Camera:0
22951,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:-0.5322222222222223,ay:-0.5033333333333333,az:0.2088888888888889,q:276.0625,rV:    60,lV:    60,Camera:0
22993,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:0.8677777777777778,ay:-0.19444444444444445,az:0.31333333333333335,q:275.5625,rV:    60,lV:    60,Camera:0
23095,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:-0.09222222222222222,ay:-0.08555555555555555,az:0.3566666666666667,q:273.4375,rV:    60,lV:    60,Camera:0
23188,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:-0.15222222222222223,ay:  1.29,az:0.04111111111111111,q:272.5625,rV:    60,lV:    60,Camera:0
23196,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:-0.0022222222222222222,ay:0.8866666666666667,az:0.06555555555555556,q:272.5625,rV:    60,lV:    60,Camera:0
23480,state:6,Time:13:18:06,Lat:35.55488833,Lng:139.65570000,ax:-0.18333333333333332,ay:0.19777777777777777,az:0.39555555555555555,q: 271.0,rV:    60,lV:    60,Camera:0
23590,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:-0.49444444444444446,ay: -0.09,az: -0.49,q: 271.0,rV:    60,lV:    60,Camera:0
23630,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:0.5466666666666666,ay:0.21666666666666667,az:-0.7622222222222222,q:272.6875,rV:    60,lV:    60,Camera:0
23725,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax: -0.68,ay:-0.042222222222222223,az:-0.11444444444444445,q:274.25,rV:    60,lV:    60,Camera:0
23768,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:0.10444444444444445,ay:-0.6877777777777778,az:-0.17888888888888888,q:274.4375,rV:    60,lV:    60,Camera:0
23888,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:0.5633333333333334,ay:  0.76,az:-0.31555555555555553,q:274.875,rV:    60,lV:    60,Camera:0
23972,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:0.5811111111111111,ay:0.09111111111111111,az:-0.08666666666666667,q:274.75,rV:    60,lV:    60,Camera:0
24014,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:-0.5988888888888889,ay:-0.9455555555555556,az: -0.37,q:275.625,rV:    60,lV:    60,Camera:0
24104,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:-0.5688888888888889,ay:  0.29,az:-0.16777777777777778,q:276.0625,rV:    60,lV:    60,Camera:0
24197,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:-0.11888888888888889,ay:-0.09111111111111111,az:0.07777777777777778,q: 276.5,rV:    60,lV:    60,Camera:0
24207,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:0.11555555555555555,ay:-0.3322222222222222,az:0.09333333333333334,q:276.4375,rV:    60,lV:    60,Camera:0
24492,state:6,Time:13:18:07,Lat:35.55489167,Lng:139.65569500,ax:-0.3022222222222222,ay:1.0266666666666666,az:-0.5166666666666667,q:274.9375,rV:    60,lV:    60,Camera:0
24601,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:0.023333333333333334,ay:   4.8,az:-0.33444444444444443,q:276.125,rV:    60,lV:    60,Camera:0
24641,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:0.24888888888888888,ay:1.448888888888889,az:-0.6455555555555555,q:277.25,rV:    60,lV:    60,Camera:0
24735,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:-0.5533333333333333,ay:1.1366666666666667,az:0.43555555555555553,q:276.75,rV:    60,lV:    60,Camera:0
24779,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:0.6933333333333334,ay:  0.36,az:0.12222222222222222,q: 276.5,rV:    60,lV:    60,Camera:0
24891,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:0.33444444444444443,ay:-0.05555555555555555,az:-0.0811111111111111,q:275.8125,rV:    60,lV:    60,Camera:0
24972,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:   0.3,ay:-0.9211111111111111,az:0.1988888888888889,q:275.75,rV:    60,lV:    60,Camera:0
25012,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:-0.25333333333333335,ay:0.27111111111111114,az:0.09777777777777778,q:275.5625,rV:    60,lV:    60,Camera:0
25101,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:-0.5355555555555556,ay:0.8455555555555555,az:0.04666666666666667,q:275.1875,rV:    60,lV:    60,Camera:0
25203,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:-0.22444444444444445,ay:-0.6888888888888889,az:0.29444444444444445,q:274.3125,rV:    60,lV:    60,Camera:0
25210,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:0.08666666666666667,ay:-0.027777777777777776,az:0.2644444444444444,q:274.3125,rV:    60,lV:    60,Camera:0
25504,state:6,Time:13:18:08,Lat:35.55489500,Lng:139.65569167,ax:-0.48333333333333334,ay:1.2255555555555555,az:0.06555555555555556,q:273.6875,rV:    60,lV:    60,Camera:0
25616,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:0.4622222222222222,ay:0.07888888888888888,az: -0.07,q:272.75,rV:    60,lV:    60,Camera:0
25661,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax: -0.43,ay:0.057777777777777775,az:0.15333333333333332,q:272.625,rV:    60,lV:    60,Camera:0
25756,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:-0.057777777777777775,ay:  0.64,az:-0.11444444444444445,q:272.375,rV:    60,lV:    60,Camera:0
25802,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:0.5855555555555556,ay:-0.7544444444444445,az:0.12111111111111111,q:272.3125,rV:    60,lV:    60,Camera:0
25917,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:-0.7011111111111111,ay:0.33666666666666667,az:0.07777777777777778,q:272.125,rV:    60,lV:    60,Camera:0
26001,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:-0.5555555555555556,ay:0.12666666666666668,az:0.027777777777777776,q:271.375,rV:    60,lV:    60,Camera:0
26051,state:6,Time:13:18:09,Lat:35.55489667,Lng:139.65569000,ax:0.4477777777777778,ay:  0.47,az:0.2833333333333333,q:270.9375,rV:    60,lV:    60,Camera:0
